LOCATION,Country,Time,Value
AUS,Australia,19-Jan,21.23828
AUS,Australia,19-Feb,20.84653
AUS,Australia,19-Mar,22.12994
AUS,Australia,19-Apr,22.16555
AUS,Australia,19-May,23.65202
AUS,Australia,19-Jun,24.36479
AUS,Australia,19-Jul,24.69309
AUS,Australia,19-Aug,22.93819
AUS,Australia,19-Sep,22.43124
AUS,Australia,19-Oct,21.36173
AUS,Australia,19-Nov,21.71616
AUS,Australia,19-Dec,23.43769
AUS,Australia,20-Jan,19.53926
AUS,Australia,20-Feb,18.36393
AUS,Australia,20-Mar,22.08569
AUS,Australia,20-Apr,19.48005
AUS,Australia,20-May,18.90736
AUS,Australia,20-Jun,21.22341
AUS,Australia,20-Jul,20.13853
AUS,Australia,20-Aug,20.2789
AUS,Australia,20-Sep,20.92967
CAN,Canada,19-Jan,34.27155
CAN,Canada,19-Feb,32.44333
CAN,Canada,19-Mar,38.82889
CAN,Canada,19-Apr,37.21762
CAN,Canada,19-May,41.19861
CAN,Canada,19-Jun,38.38876
CAN,Canada,19-Jul,37.30937
CAN,Canada,19-Aug,37.13308
CAN,Canada,19-Sep,37.1716
CAN,Canada,19-Oct,38.56565
CAN,Canada,19-Nov,36.29432
CAN,Canada,19-Dec,37.90222
CAN,Canada,20-Jan,35.63885
CAN,Canada,20-Feb,33.53666
CAN,Canada,20-Mar,34.54234
CAN,Canada,20-Apr,23.42942
CAN,Canada,20-May,24.37316
CAN,Canada,20-Jun,30.33899
CAN,Canada,20-Jul,32.03005
CAN,Canada,20-Aug,32.90586
CAN,Canada,20-Sep,35.16336
FRA,France,19-Jan,46.57344
FRA,France,19-Feb,47.21973
FRA,France,19-Mar,51.88074
FRA,France,19-Apr,48.52729
FRA,France,19-May,50.25962
FRA,France,19-Jun,47.69601
FRA,France,19-Jul,50.83299
FRA,France,19-Aug,38.34301
FRA,France,19-Sep,45.09829
FRA,France,19-Oct,52.36971
FRA,France,19-Nov,46.79714
FRA,France,19-Dec,45.31902
FRA,France,20-Jan,43.12323
FRA,France,20-Feb,44.56254
FRA,France,20-Mar,42.53892
FRA,France,20-Apr,26.97435
FRA,France,20-May,28.46938
FRA,France,20-Jun,38.63684
FRA,France,20-Jul,42.71135
FRA,France,20-Aug,33.07948
FRA,France,20-Sep,45.30041
DEU,Germany,19-Jan,124.6009
DEU,Germany,19-Feb,123.6672
DEU,Germany,19-Mar,133.7464
DEU,Germany,19-Apr,123.7949
DEU,Germany,19-May,127.9964
DEU,Germany,19-Jun,120.008
DEU,Germany,19-Jul,129.1821
DEU,Germany,19-Aug,113.2197
DEU,Germany,19-Sep,125.9737
DEU,Germany,19-Oct,132.7263
DEU,Germany,19-Nov,125.2801
DEU,Germany,19-Dec,109.1319
DEU,Germany,20-Jan,118.7249
DEU,Germany,20-Feb,119.3226
DEU,Germany,20-Mar,120.4029
DEU,Germany,20-Apr,82.26991
DEU,Germany,20-May,87.46873
DEU,Germany,20-Jun,108.3041
DEU,Germany,20-Jul,117.6051
DEU,Germany,20-Aug,108.0649
DEU,Germany,20-Sep,129.6574
ITA,Italy,19-Jan,40.80909
ITA,Italy,19-Feb,42.52286
ITA,Italy,19-Mar,46.90626
ITA,Italy,19-Apr,43.16964
ITA,Italy,19-May,49.03431
ITA,Italy,19-Jun,46.06897
ITA,Italy,19-Jul,50.99997
ITA,Italy,19-Aug,33.15623
ITA,Italy,19-Sep,43.28139
ITA,Italy,19-Oct,50.74477
ITA,Italy,19-Nov,44.38514
ITA,Italy,19-Dec,41.55451
ITA,Italy,20-Jan,40.5813
ITA,Italy,20-Feb,43.73272
ITA,Italy,20-Mar,39.67487
ITA,Italy,20-Apr,24.41893
ITA,Italy,20-May,33.271
ITA,Italy,20-Jun,40.37027
ITA,Italy,20-Jul,48.38809
ITA,Italy,20-Aug,32.78671
ITA,Italy,20-Sep,47.2968
JPN,Japan,19-Jan,51.08281
JPN,Japan,19-Feb,57.87616
JPN,Japan,19-Mar,64.75115
JPN,Japan,19-Apr,59.70131
JPN,Japan,19-May,53.03041
JPN,Japan,19-Jun,60.93748
JPN,Japan,19-Jul,61.38255
JPN,Japan,19-Aug,57.73889
JPN,Japan,19-Sep,59.27746
JPN,Japan,19-Oct,60.82314
JPN,Japan,19-Nov,58.62956
JPN,Japan,19-Dec,60.23246
JPN,Japan,20-Jan,49.67556
JPN,Japan,20-Feb,57.45082
JPN,Japan,20-Mar,59.14894
JPN,Japan,20-Apr,48.29056
JPN,Japan,20-May,39.03614
JPN,Japan,20-Jun,45.19509
JPN,Japan,20-Jul,50.29594
JPN,Japan,20-Aug,49.37534
JPN,Japan,20-Sep,57.35285
KOR,Korea,19-Jan,46.16893
KOR,Korea,19-Feb,39.4818
KOR,Korea,19-Mar,47.0032
KOR,Korea,19-Apr,48.78115
KOR,Korea,19-May,45.70395
KOR,Korea,19-Jun,44.0084
KOR,Korea,19-Jul,46.07822
KOR,Korea,19-Aug,44.02007
KOR,Korea,19-Sep,44.62905
KOR,Korea,19-Oct,46.64875
KOR,Korea,19-Nov,44.04072
KOR,Korea,19-Dec,45.66834
KOR,Korea,20-Jan,43.11058
KOR,Korea,20-Feb,40.91931
KOR,Korea,20-Mar,46.20385
KOR,Korea,20-Apr,36.29943
KOR,Korea,20-May,34.84212
KOR,Korea,20-Jun,39.22849
KOR,Korea,20-Jul,42.80272
KOR,Korea,20-Aug,39.57234
KOR,Korea,20-Sep,48.04074
KOR,Korea,20-Oct,44.98
MEX,Mexico,19-Jan,32.63773
MEX,Mexico,19-Feb,36.43803
MEX,Mexico,19-Mar,39.01953
MEX,Mexico,19-Apr,39.58657
MEX,Mexico,19-May,41.75219
MEX,Mexico,19-Jun,37.9294
MEX,Mexico,19-Jul,39.12727
MEX,Mexico,19-Aug,40.05728
MEX,Mexico,19-Sep,37.18591
MEX,Mexico,19-Oct,40.76852
MEX,Mexico,19-Nov,37.47253
MEX,Mexico,19-Dec,38.72884
MEX,Mexico,20-Jan,33.58779
MEX,Mexico,20-Feb,36.59176
MEX,Mexico,20-Mar,38.3427
MEX,Mexico,20-Apr,23.3848
