LOCATION,Country,Time,Value
AUS,Australia,Jan-19,18.5867
AUS,Australia,Feb-19,16.67965
AUS,Australia,Mar-19,17.00919
AUS,Australia,Apr-19,17.70995
AUS,Australia,May-19,18.56224
AUS,Australia,Jun-19,16.42464
AUS,Australia,Jul-19,18.40925
AUS,Australia,Aug-19,17.533
AUS,Australia,Sep-19,17.71558
AUS,Australia,Oct-19,19.48398
AUS,Australia,Nov-19,17.71437
AUS,Australia,Dec-19,17.89319
AUS,Australia,Jan-20,17.26175
AUS,Australia,Feb-20,14.29611
AUS,Australia,Mar-20,14.94666
AUS,Australia,Apr-20,15.04428
AUS,Australia,May-20,14.32908
AUS,Australia,Jun-20,16.00566
AUS,Australia,Jul-20,18.14702
AUS,Australia,Aug-20,17.31845
AUS,Australia,Sep-20,17.22973
CAN,Canada,Jan-19,36.03757
CAN,Canada,Feb-19,35.07132
CAN,Canada,Mar-19,40.0886
CAN,Canada,Apr-19,38.87521
CAN,Canada,May-19,40.27383
CAN,Canada,Jun-19,38.12663
CAN,Canada,Jul-19,38.13026
CAN,Canada,Aug-19,39.04561
CAN,Canada,Sep-19,37.25685
CAN,Canada,Oct-19,39.27391
CAN,Canada,Nov-19,36.24303
CAN,Canada,Dec-19,34.87815
CAN,Canada,Jan-20,34.81171
CAN,Canada,Feb-20,33.80684
CAN,Canada,Mar-20,35.45121
CAN,Canada,Apr-20,25.8548
CAN,Canada,May-20,24.66882
CAN,Canada,Jun-20,32.13275
CAN,Canada,Jul-20,34.61578
CAN,Canada,Aug-20,35.45402
CAN,Canada,Sep-20,36.41622
FRA,France,Jan-19,55.88845
FRA,France,Feb-19,53.81944
FRA,France,Mar-19,58.83204
FRA,France,Apr-19,55.88888
FRA,France,May-19,56.80042
FRA,France,Jun-19,54.72727
FRA,France,Jul-19,57.57158
FRA,France,Aug-19,45.54285
FRA,France,Sep-19,53.02694
FRA,France,Oct-19,58.81432
FRA,France,Nov-19,54.02814
FRA,France,Dec-19,49.68087
FRA,France,Jan-20,52.84032
FRA,France,Feb-20,51.31366
FRA,France,Mar-20,46.64379
FRA,France,Apr-20,32.98368
FRA,France,May-20,38.19118
FRA,France,Jun-20,49.29692
FRA,France,Jul-20,51.06429
FRA,France,Aug-20,43.33258
FRA,France,Sep-20,54.53455
DEU,Germany,Jan-19,107.3538
DEU,Germany,Feb-19,103.1485
DEU,Germany,Mar-19,108.0821
DEU,Germany,Apr-19,103.3447
DEU,Germany,May-19,104.4535
DEU,Germany,Jun-19,100.8921
DEU,Germany,Jul-19,104.8747
DEU,Germany,Aug-19,94.49194
DEU,Germany,Sep-19,102.1249
DEU,Germany,Oct-19,108.6243
DEU,Germany,Nov-19,104.5226
DEU,Germany,Dec-19,91.99676
DEU,Germany,Jan-20,102.9785
DEU,Germany,Feb-20,96.79403
DEU,Germany,Mar-20,101.0997
DEU,Germany,Apr-20,78.50375
DEU,Germany,May-20,79.81461
DEU,Germany,Jun-20,90.73788
DEU,Germany,Jul-20,95.27562
DEU,Germany,Aug-20,93.73189
DEU,Germany,Sep-20,104.7922
ITA,Italy,Jan-19,40.43819
ITA,Italy,Feb-19,38.84859
ITA,Italy,Mar-19,41.73374
ITA,Italy,Apr-19,39.96626
ITA,Italy,May-19,43.00968
ITA,Italy,Jun-19,39.63013
ITA,Italy,Jul-19,42.45742
ITA,Italy,Aug-19,30.26608
ITA,Italy,Sep-19,40.32438
ITA,Italy,Oct-19,41.83897
ITA,Italy,Nov-19,38.98216
ITA,Italy,Dec-19,35.99082
ITA,Italy,Jan-20,39.9759
ITA,Italy,Feb-20,37.09492
ITA,Italy,Mar-20,33.39955
ITA,Italy,Apr-20,25.64837
ITA,Italy,May-20,27.18082
ITA,Italy,Jun-20,33.35764
ITA,Italy,Jul-20,37.27141
ITA,Italy,Aug-20,28.13931
ITA,Italy,Sep-20,40.40423
JPN,Japan,Jan-19,64.13254
JPN,Japan,Feb-19,54.89631
JPN,Japan,Mar-19,60.10042
JPN,Japan,Apr-19,59.17287
JPN,Japan,May-19,61.80008
JPN,Japan,Jun-19,55.4952
JPN,Japan,Jul-19,63.72829
JPN,Japan,Aug-19,59.17053
JPN,Japan,Sep-19,60.47877
JPN,Japan,Oct-19,60.7199
JPN,Japan,Nov-19,59.44192
JPN,Japan,Dec-19,61.69015
JPN,Japan,Jan-20,61.704
JPN,Japan,Feb-20,47.39368
JPN,Japan,Mar-20,59.08193
JPN,Japan,Apr-20,56.92794
JPN,Japan,May-20,46.88266
JPN,Japan,Jun-20,47.73174
JPN,Japan,Jul-20,50.22967
JPN,Japan,Aug-20,47.06962
JPN,Japan,Sep-20,50.83669
KOR,Korea,Jan-19,45.15339
KOR,Korea,Feb-19,36.65144
KOR,Korea,Mar-19,41.99235
KOR,Korea,Apr-19,45.04716
KOR,Korea,May-19,43.61967
KOR,Korea,Jun-19,40.10481
KOR,Korea,Jul-19,43.76225
KOR,Korea,Aug-19,42.45725
KOR,Korea,Sep-19,38.74147
KOR,Korea,Oct-19,41.39652
KOR,Korea,Nov-19,40.72921
KOR,Korea,Dec-19,43.68743
KOR,Korea,Jan-20,42.73259
KOR,Korea,Feb-20,37.00852
KOR,Korea,Mar-20,41.81945
KOR,Korea,Apr-20,37.87071
KOR,Korea,May-20,34.48217
KOR,Korea,Jun-20,35.61682
KOR,Korea,Jul-20,38.69516
KOR,Korea,Aug-20,35.73462
KOR,Korea,Sep-20,39.34478
KOR,Korea,Oct-20,39
MEX,Mexico,Jan-19,37.263
MEX,Mexico,Feb-19,35.07409
MEX,Mexico,Mar-19,37.53122
MEX,Mexico,Apr-19,38.07687
