LOCATION,Country,Time,Value
CAN,Canada,19-Jan,-1.766019
CAN,Canada,19-Feb,-2.627985
CAN,Canada,19-Mar,-1.259707
CAN,Canada,19-Apr,-1.657583
CAN,Canada,19-May,0.9247788
CAN,Canada,19-Jun,0.26213
CAN,Canada,19-Jul,-0.8208888
CAN,Canada,19-Aug,-1.912529
CAN,Canada,19-Sep,-0.08525197
CAN,Canada,19-Oct,-0.7082568
CAN,Canada,19-Nov,0.05129155
CAN,Canada,19-Dec,3.024062
CAN,Canada,20-Jan,0.8271396
CAN,Canada,20-Feb,-0.2701747
CAN,Canada,20-Mar,-0.9088694
CAN,Canada,20-Apr,-2.425379
CAN,Canada,20-May,-0.2956578
CAN,Canada,20-Jun,-1.793759
CAN,Canada,20-Jul,-2.585727
CAN,Canada,20-Aug,-2.548162
CAN,Canada,20-Sep,-1.252858
FRA,France,19-Jan,-9.315008
FRA,France,19-Feb,-6.599703
FRA,France,19-Mar,-6.951293
FRA,France,19-Apr,-7.361588
FRA,France,19-May,-6.540802
FRA,France,19-Jun,-7.031259
FRA,France,19-Jul,-6.738586
FRA,France,19-Aug,-7.199841
FRA,France,19-Sep,-7.928639
FRA,France,19-Oct,-6.444613
FRA,France,19-Nov,-7.231008
FRA,France,19-Dec,-4.361861
FRA,France,20-Jan,-9.717091
FRA,France,20-Feb,-6.751114
FRA,France,20-Mar,-4.104872
FRA,France,20-Apr,-6.009328
FRA,France,20-May,-9.721801
FRA,France,20-Jun,-10.66008
FRA,France,20-Jul,-8.352942
FRA,France,20-Aug,-10.25309
FRA,France,20-Sep,-9.234138
DEU,Germany,19-Jan,17.24705
DEU,Germany,19-Feb,20.51867
DEU,Germany,19-Mar,25.66422
DEU,Germany,19-Apr,20.45015
DEU,Germany,19-May,23.54288
DEU,Germany,19-Jun,19.11591
DEU,Germany,19-Jul,24.30738
DEU,Germany,19-Aug,18.72773
DEU,Germany,19-Sep,23.84877
DEU,Germany,19-Oct,24.102
DEU,Germany,19-Nov,20.75757
DEU,Germany,19-Dec,17.1351
DEU,Germany,20-Jan,15.7464
DEU,Germany,20-Feb,22.52861
DEU,Germany,20-Mar,19.30319
DEU,Germany,20-Apr,3.766159
DEU,Germany,20-May,7.654115
DEU,Germany,20-Jun,17.56619
DEU,Germany,20-Jul,22.3295
DEU,Germany,20-Aug,14.33304
DEU,Germany,20-Sep,24.8652
ITA,Italy,19-Jan,0.370892
ITA,Italy,19-Feb,3.674267
ITA,Italy,19-Mar,5.172519
ITA,Italy,19-Apr,3.203377
ITA,Italy,19-May,6.024635
ITA,Italy,19-Jun,6.438835
ITA,Italy,19-Jul,8.542555
ITA,Italy,19-Aug,2.890149
ITA,Italy,19-Sep,2.957016
ITA,Italy,19-Oct,8.905795
ITA,Italy,19-Nov,5.40298
ITA,Italy,19-Dec,5.563692
ITA,Italy,20-Jan,0.6053961
ITA,Italy,20-Feb,6.637803
ITA,Italy,20-Mar,6.275318
ITA,Italy,20-Apr,-1.229438
ITA,Italy,20-May,6.090181
ITA,Italy,20-Jun,7.012628
ITA,Italy,20-Jul,11.11668
ITA,Italy,20-Aug,4.647398
ITA,Italy,20-Sep,6.892577
JPN,Japan,19-Jan,-13.04973
JPN,Japan,19-Feb,2.97986
JPN,Japan,19-Mar,4.65073
JPN,Japan,19-Apr,0.5284373
JPN,Japan,19-May,-8.769672
JPN,Japan,19-Jun,5.442283
JPN,Japan,19-Jul,-2.345745
JPN,Japan,19-Aug,-1.431644
JPN,Japan,19-Sep,-1.201312
JPN,Japan,19-Oct,0.1032437
JPN,Japan,19-Nov,-0.8123608
JPN,Japan,19-Dec,-1.457692
JPN,Japan,20-Jan,-12.02844
JPN,Japan,20-Feb,10.05714
JPN,Japan,20-Mar,0.06701414
JPN,Japan,20-Apr,-8.637379
JPN,Japan,20-May,-7.846519
JPN,Japan,20-Jun,-2.536655
JPN,Japan,20-Jul,0.06627113
JPN,Japan,20-Aug,2.305722
JPN,Japan,20-Sep,6.516166
KOR,Korea,19-Jan,1.015545
KOR,Korea,19-Feb,2.830366
KOR,Korea,19-Mar,5.010857
KOR,Korea,19-Apr,3.733992
KOR,Korea,19-May,2.084281
KOR,Korea,19-Jun,3.903592
KOR,Korea,19-Jul,2.315976
KOR,Korea,19-Aug,1.562815
KOR,Korea,19-Sep,5.88758
KOR,Korea,19-Oct,5.252239
KOR,Korea,19-Nov,3.311507
KOR,Korea,19-Dec,1.980911
KOR,Korea,20-Jan,0.377991
KOR,Korea,20-Feb,3.910791
KOR,Korea,20-Mar,4.384408
KOR,Korea,20-Apr,-1.571283
KOR,Korea,20-May,0.359961
KOR,Korea,20-Jun,3.611675
KOR,Korea,20-Jul,4.107562
KOR,Korea,20-Aug,3.837726
KOR,Korea,20-Sep,8.695963
KOR,Korea,20-Oct,5.98
MEX,Mexico,19-Jan,-4.625277
MEX,Mexico,19-Feb,1.363944
